anio,county_code,loan_purpose,lien_status,occupancy_type,n_focal,k_focal,n_ref,k_ref,celda
2021,29047,1,1,1,250.0,37.0,3930.0,211.0,29047|1|1|1
2021,37025,31,1,1,972.0,194.0,3857.0,396.0,37025|31|1|1
2021,37069,31,1,1,265.0,58.0,1165.0,134.0,37069|31|1|1
2020,48121,1,2,1,60.0,13.0,561.0,89.0,48121|1|2|1
2020,51810,2,2,1,55.0,29.0,516.0,191.0,51810|2|2|1
2020,55079,31,1,1,997.0,319.0,12797.0,1445.0,55079|31|1|1
2021,06013,4,2,1,92.0,49.0,1113.0,327.0,06013|4|2|1
2021,12011,2,1,1,201.0,144.0,940.0,520.0,12011|2|1|1
2021,12086,2,2,1,244.0,188.0,2528.0,1570.0,12086|2|2|1
2021,13135,4,1,1,102.0,80.0,273.0,123.0,13135|4|1|1
2021,25001,1,1,1,78.0,8.0,2145.0,160.0,25001|1|1|1
2021,37081,4,1,1,59.0,38.0,256.0,84.0,37081|4|1|1
2021,37049,32,1,1,60.0,19.0,614.0,118.0,37049|32|1|1
2021,34003,32,1,1,277.0,68.0,4396.0,642.0,34003|32|1|1
2021,34001,1,1,1,348.0,67.0,2654.0,244.0,34001|1|1|1
2021,36103,32,1,1,642.0,156.0,11153.0,1447.0,36103|32|1|1
2021,36119,32,1,1,381.0,89.0,3530.0,529.0,36119|32|1|1
2021,39151,31,1,1,114.0,31.0,5072.0,694.0,39151|31|1|1
2021,47093,32,1,1,233.0,59.0,4479.0,588.0,47093|32|1|1
2021,47113,32,1,1,108.0,50.0,340.0,78.0,47113|32|1|1
2021,48329,1,1,1,127.0,20.0,3291.0,528.0,48329|1|1|1
2021,51800,1,1,1,948.0,85.0,1306.0,55.0,51800|1|1|1
2021,51590,1,1,1,125.0,30.0,152.0,20.0,51590|1|1|1
2021,51041,1,2,1,235.0,29.0,206.0,27.0,51041|1|2|1
2021,55079,1,1,1,1914.0,360.0,7909.0,543.0,55079|1|1|1
2022,12069,1,1,1,808.0,193.0,5615.0,805.0,12069|1|1|1
2022,12111,1,1,1,2031.0,429.0,4979.0,633.0,12111|1|1|1
2022,13113,1,1,1,598.0,112.0,908.0,47.0,13113|1|1|1
2022,13015,1,1,1,190.0,35.0,1327.0,119.0,13015|1|1|1
2021,36005,4,1,1,28.0,18.0,42.0,22.0,36005|4|1|1
2021,48491,32,1,1,313.0,72.0,5341.0,761.0,48491|32|1|1
2021,51149,32,1,1,53.0,9.0,220.0,36.0,51149|32|1|1
2022,12099,4,2,1,425.0,302.0,3179.0,1670.0,12099|4|2|1
2022,12047,1,1,1,40.0,29.0,110.0,44.0,12047|1|1|1
2022,13051,4,2,1,77.0,49.0,355.0,155.0,13051|4|2|1
2022,24005,1,1,1,2605.0,328.0,4765.0,263.0,24005|1|1|1
2022,24017,32,1,1,970.0,300.0,429.0,115.0,24017|32|1|1
2022,24021,32,1,1,216.0,91.0,1046.0,242.0,24021|32|1|1
2022,36047,32,1,3,174.0,56.0,379.0,76.0,36047|32|1|3
2022,36047,31,1,3,70.0,24.0,288.0,82.0,36047|31|1|3
2022,36055,1,1,1,677.0,117.0,5165.0,250.0,36055|1|1|1
2022,39057,1,1,1,96.0,15.0,1925.0,121.0,39057|1|1|1
2022,39061,4,1,1,99.0,53.0,589.0,179.0,39061|4|1|1
2022,48085,1,1,1,1587.0,248.0,8855.0,700.0,48085|1|1|1
2022,48157,2,1,1,88.0,60.0,167.0,90.0,48157|2|1|1
2022,48185,1,1,1,47.0,31.0,508.0,145.0,48185|1|1|1
2022,51800,4,2,1,104.0,60.0,162.0,50.0,51800|4|2|1
2023,01115,1,1,1,209.0,66.0,1237.0,257.0,01115|1|1|1
2023,01073,4,1,1,193.0,138.0,273.0,84.0,01073|4|1|1
2023,12019,1,1,1,515.0,114.0,2625.0,375.0,12019|1|1|1
2023,12095,32,1,1,591.0,298.0,1510.0,540.0,12095|32|1|1
2023,13151,1,1,1,2579.0,579.0,746.0,121.0,13151|1|1|1
2023,13121,31,2,1,119.0,61.0,410.0,115.0,13121|31|2|1
2022,38017,1,1,1,92.0,9.0,2292.0,91.0,38017|1|1|1
2022,39095,1,1,1,539.0,112.0,3700.0,293.0,39095|1|1|1
2022,39043,1,1,1,36.0,5.0,633.0,47.0,39043|1|1|1
2023,13097,4,1,1,38.0,28.0,41.0,18.0,13097|4|1|1
2023,29510,31,1,1,49.0,22.0,107.0,23.0,29510|31|1|1
2023,39061,2,1,1,136.0,80.0,317.0,112.0,39061|2|1|1
2023,48397,1,1,1,397.0,69.0,1651.0,167.0,48397|1|1|1
2023,51810,31,1,1,57.0,18.0,220.0,66.0,51810|31|1|1
2023,51069,1,1,1,66.0,8.0,989.0,100.0,51069|1|1|1
2024,06073,1,1,1,541.0,93.0,11200.0,1386.0,06073|1|1|1
2024,12109,32,1,1,56.0,36.0,665.0,225.0,12109|32|1|1
2023,39113,4,1,1,92.0,53.0,310.0,126.0,39113|4|1|1
2024,12083,2,1,1,43.0,30.0,395.0,211.0,12083|2|1|1
2024,13089,1,1,1,2355.0,445.0,3074.0,197.0,13089|1|1|1
2024,13117,1,1,1,76.0,8.0,1435.0,90.0,13117|1|1|1
2024,13067,4,2,1,671.0,328.0,1244.0,487.0,13067|4|2|1
2018,01101,1,1,1,975.0,213.0,1003.0,81.0,01101|1|1|1
2018,01089,1,2,1,33.0,11.0,84.0,14.0,01089|1|2|1
2018,06001,32,1,3,197.0,75.0,424.0,101.0,06001|32|1|3
2018,42133,32,1,1,49.0,22.0,1122.0,376.0,42133|32|1|1
2018,12129,1,1,1,60.0,15.0,520.0,103.0,12129|1|1|1
2018,12086,1,2,1,51.0,14.0,954.0,309.0,12086|1|2|1
2018,12103,4,2,1,79.0,57.0,2215.0,1154.0,12103|4|2|1
2018,12105,1,1,3,39.0,7.0,457.0,55.0,12105|1|1|3
2018,24025,31,1,1,143.0,51.0,898.0,224.0,24025|31|1|1
2018,29510,2,2,1,96.0,71.0,258.0,94.0,29510|2|2|1
2018,29189,31,1,1,536.0,268.0,3096.0,704.0,29189|31|1|1
2018,42003,4,1,1,96.0,63.0,1130.0,410.0,42003|4|1|1
2018,42029,4,2,1,38.0,23.0,1474.0,521.0,42029|4|2|1
2019,06115,1,1,1,64.0,16.0,922.0,89.0,06115|1|1|1
2019,12083,2,1,1,29.0,19.0,511.0,241.0,12083|2|1|1
2019,12117,4,2,1,65.0,47.0,904.0,475.0,12117|4|2|1
2019,21111,31,2,1,48.0,16.0,673.0,112.0,21111|31|2|1
2019,26125,32,1,1,815.0,251.0,7081.0,1155.0,26125|32|1|1
2019,34003,4,2,1,57.0,38.0,1202.0,653.0,34003|4|2|1
2019,34031,2,2,1,39.0,30.0,743.0,417.0,34031|2|2|1
2019,36111,1,1,1,58.0,14.0,1254.0,205.0,36111|1|1|1
2019,42045,31,1,1,358.0,143.0,2486.0,488.0,42045|31|1|1
2019,42041,1,1,1,79.0,8.0,2848.0,237.0,42041|1|1|1
2019,42045,4,1,1,51.0,34.0,365.0,141.0,42045|4|1|1
2019,48073,1,1,1,71.0,44.0,536.0,180.0,48073|1|1|1
2019,48167,1,1,1,297.0,39.0,4330.0,419.0,48167|1|1|1
2019,48349,1,1,1,42.0,18.0,483.0,130.0,48349|1|1|1
2019,48001,1,1,1,56.0,28.0,424.0,115.0,48001|1|1|1
2019,51740,4,2,1,46.0,36.0,52.0,34.0,51740|4|2|1
2019,06075,1,1,1,39.0,9.0,1962.0,100.0,06075|1|1|1
2019,06065,2,2,1,207.0,145.0,3002.0,1692.0,06065|2|2|1
2019,12009,1,1,3,32.0,7.0,398.0,48.0,12009|1|1|3
2019,34041,1,1,1,115.0,27.0,1246.0,132.0,34041|1|1|1
2019,48491,32,1,1,106.0,40.0,1864.0,387.0,48491|32|1|1
2019,48439,32,1,3,73.0,24.0,435.0,73.0,48439|32|1|3
2019,48245,31,1,1,117.0,57.0,287.0,70.0,48245|31|1|1
2020,06071,31,1,1,2814.0,527.0,30878.0,3899.0,06071|31|1|1
2020,12101,1,1,1,897.0,154.0,10882.0,1332.0,12101|1|1|1
2020,12099,31,1,1,2155.0,721.0,18554.0,3444.0,12099|31|1|1
2020,12009,1,1,1,745.0,140.0,9843.0,1000.0,12009|1|1|1
2020,37033,1,1,1,42.0,17.0,158.0,32.0,37033|1|1|1
2020,40017,1,1,1,215.0,33.0,3068.0,275.0,40017|1|1|1
2020,42133,32,1,1,35.0,16.0,1821.0,287.0,42133|32|1|1
2020,47037,31,1,1,1612.0,392.0,11319.0,1316.0,47037|31|1|1
2020,47037,2,1,1,68.0,43.0,408.0,175.0,47037|2|1|1
2020,48213,1,1,1,75.0,50.0,1235.0,372.0,48213|1|1|1
2020,06073,32,1,3,78.0,22.0,2001.0,353.0,06073|32|1|3
2020,06013,2,2,1,97.0,56.0,1280.0,490.0,06013|2|2|1
2020,06037,31,2,1,114.0,56.0,2175.0,852.0,06037|31|2|1
2020,24031,32,1,1,624.0,175.0,4096.0,458.0,24031|32|1|1
2020,24510,1,1,3,226.0,46.0,269.0,26.0,24510|1|1|3
2020,24510,32,1,3,108.0,55.0,130.0,32.0,24510|32|1|3
2020,34039,32,1,1,339.0,105.0,1751.0,292.0,34039|32|1|1
2020,36067,32,1,1,35.0,13.0,1432.0,223.0,36067|32|1|1
2020,36027,1,1,1,313.0,52.0,2419.0,262.0,36027|1|1|1
2020,36055,31,2,1,39.0,18.0,588.0,113.0,36055|31|2|1
2020,36055,1,2,1,25.0,9.0,172.0,24.0,36055|1|2|1
2020,42045,2,1,1,70.0,49.0,330.0,118.0,42045|2|1|1
2020,47157,1,1,3,131.0,19.0,1059.0,44.0,47157|1|1|3
2020,47113,32,1,1,41.0,20.0,207.0,34.0,47113|32|1|1
2020,48113,32,1,3,103.0,32.0,481.0,102.0,48113|32|1|3
2020,48157,1,1,3,75.0,18.0,194.0,21.0,48157|1|1|3
2020,48099,1,1,1,116.0,19.0,763.0,115.0,48099|1|1|1
2020,48485,1,1,1,71.0,13.0,1201.0,88.0,48485|1|1|1
2020,51510,1,1,1,157.0,12.0,1637.0,44.0,51510|1|1|1
2020,51085,1,1,1,140.0,23.0,1727.0,96.0,51085|1|1|1
2021,06065,31,1,1,3275.0,682.0,35940.0,5154.0,06065|31|1|1
2021,12113,32,1,1,79.0,23.0,2091.0,381.0,12113|32|1|1
2021,12105,31,1,1,1119.0,308.0,7867.0,1470.0,12105|31|1|1
2021,12127,32,1,1,342.0,133.0,5656.0,1231.0,12127|32|1|1
2021,13045,32,1,1,119.0,44.0,914.0,140.0,13045|32|1|1
2021,13089,32,1,3,229.0,74.0,174.0,29.0,13089|32|1|3
2021,29510,2,1,1,87.0,70.0,94.0,38.0,29510|2|1|1
2021,37183,1,1,1,2067.0,320.0,13062.0,573.0,37183|1|1|1
2020,48481,1,1,1,52.0,38.0,299.0,60.0,48481|1|1|1
2020,53053,1,1,1,953.0,100.0,10467.0,746.0,53053|1|1|1
2021,10003,2,1,1,93.0,65.0,273.0,89.0,10003|2|1|1
2021,12105,2,1,1,64.0,34.0,534.0,215.0,12105|2|1|1
2021,12127,2,2,1,55.0,47.0,898.0,430.0,12127|2|2|1
2021,13177,1,1,1,174.0,39.0,409.0,54.0,13177|1|1|1
2021,13095,1,1,1,427.0,140.0,285.0,58.0,13095|1|1|1
2021,13151,4,1,1,73.0,51.0,63.0,25.0,13151|4|1|1
2021,37089,1,1,1,52.0,15.0,1907.0,227.0,37089|1|1|1
2021,34021,31,1,1,459.0,120.0,3351.0,473.0,34021|31|1|1
2021,36055,2,2,1,177.0,94.0,1585.0,406.0,36055|2|2|1
2021,48167,1,1,1,400.0,75.0,4554.0,457.0,48167|1|1|1
2021,48027,1,1,1,1283.0,168.0,4532.0,388.0,48027|1|1|1
2021,48491,1,1,1,740.0,120.0,8891.0,670.0,48491|1|1|1
2022,12009,32,1,1,478.0,162.0,3729.0,995.0,12009|32|1|1
2022,12009,2,1,1,57.0,35.0,577.0,203.0,12009|2|1|1
2022,13121,1,1,1,4800.0,890.0,6412.0,408.0,13121|1|1|1
2022,13207,1,1,1,102.0,31.0,385.0,67.0,13207|1|1|1
2022,13089,1,1,3,162.0,45.0,210.0,11.0,13089|1|1|3
2022,13135,4,1,1,95.0,72.0,242.0,102.0,13135|4|1|1
2022,13121,32,2,1,105.0,33.0,168.0,37.0,13121|32|2|1
2022,18097,2,2,1,581.0,236.0,1896.0,619.0,18097|2|2|1
2022,26065,4,2,1,59.0,27.0,695.0,129.0,26065|4|2|1
2021,36103,1,2,1,52.0,19.0,274.0,58.0,36103|1|2|1
2021,36059,32,2,1,25.0,11.0,360.0,118.0,36059|32|2|1
